kanji,grade
一,1
九,1
七,1
二,1
人,1
入,1
八,1
力,1
十,1
下,1
三,1
千,1
上,1
口,1
土,1
夕,1
大,1
女,1
子,1
小,1
山,1
川,1
五,1
天,1
中,1
六,1
円,1
手,1
文,1
日,1
月,1
木,1
水,1
火,1
犬,1
王,1
正,1
出,1
本,1
右,1
四,1
左,1
玉,1
生,1
田,1
白,1
目,1
石,1
立,1
百,1
年,1
休,1
先,1
名,1
字,1
早,1
気,1
竹,1
糸,1
耳,1
虫,1
村,1
男,1
町,1
花,1
見,1
貝,1
赤,1
足,1
車,1
学,1
林,1
空,1
金,1
雨,1
青,1
草,1
音,1
校,1
森,1
刀,2
万,2
丸,2
才,2
工,2
弓,2
内,2
午,2
少,2
元,2
今,2
公,2
分,2
切,2
友,2
太,2
引,2
心,2
戸,2
方,2
止,2
毛,2
父,2
牛,2
半,2
市,2
北,2
古,2
台,2
兄,2
冬,2
外,2
広,2
母,2
用,2
矢,2
交,2
会,2
合,2
同,2
回,2
寺,2
地,2
多,2
光,2
当,2
毎,2
池,2
米,2
羽,2
考,2
肉,2
自,2
色,2
行,2
西,2
来,2
何,2
作,2
体,2
弟,2
図,2
声,2
売,2
形,2
汽,2
社,2
角,2
言,2
谷,2
走,2
近,2
里,2
麦,2
画,2
東,2
京,2
夜,2
直,2
国,2
姉,2
妹,2
岩,2
店,2
明,2
歩,2
知,2
長,2
門,2
昼,2
前,2
南,2
点,2
室,2
後,2
春,2
星,2
海,2
活,2
思,2
科,2
秋,2
茶,2
計,2
風,2
食,2
首,2
夏,2
弱,2
原,2
家,2
帰,2
時,2
紙,2
書,2
記,2
通,2
馬,2
高,2
強,2
教,2
理,2
細,2
組,2
船,2
週,2
野,2
雪,2
魚,2
鳥,2
黄,2
黒,2
場,2
晴,2
答,2
絵,2
買,2
朝,2
道,2
番,2
間,2
雲,2
園,2
数,2
新,2
楽,2
話,2
遠,2
電,2
鳴,2
歌,2
算,2
語,2
読,2
聞,2
線,2
親,2
頭,2
曜,2
顔,2
丁,3
予,3
化,3
区,3
反,3
央,3
平,3
申,3
世,3
由,3
氷,3
主,3
仕,3
他,3
代,3
写,3
号,3
去,3
打,3
皮,3
皿,3
礼,3
両,3
曲,3
向,3
州,3
全,3
次,3
安,3
守,3
式,3
死,3
列,3
羊,3
有,3
血,3
住,3
助,3
医,3
君,3
坂,3
局,3
役,3
投,3
対,3
決,3
究,3
豆,3
身,3
返,3
表,3
事,3
育,3
使,3
命,3
味,3
幸,3
始,3
実,3
定,3
岸,3
所,3
放,3
昔,3
板,3
泳,3
注,3
波,3
油,3
受,3
物,3
具,3
委,3
和,3
者,3
取,3
服,3
苦,3
重,3
乗,3
係,3
品,3
客,3
県,3
屋,3
炭,3
度,3
待,3
急,3
指,3
持,3
拾,3
昭,3
相,3
柱,3
洋,3
畑,3
界,3
発,3
研,3
神,3
秒,3
級,3
美,3
負,3
送,3
追,3
面,3
島,3
勉,3
倍,3
真,3
員,3
宮,3
庫,3
庭,3
旅,3
根,3
酒,3
消,3
流,3
病,3
息,3
荷,3
起,3
速,3
配,3
院,3
悪,3
商,3
動,3
宿,3
帳,3
族,3
深,3
球,3
祭,3
第,3
笛,3
終,3
習,3
転,3
進,3
都,3
部,3
問,3
章,3
寒,3
暑,3
植,3
温,3
湖,3
港,3
湯,3
登,3
短,3
童,3
等,3
筆,3
着,3
期,3
勝,3
葉,3
落,3
軽,3
運,3
遊,3
開,3
階,3
陽,3
集,3
悲,3
飲,3
歯,3
業,3
感,3
想,3
暗,3
漢,3
福,3
詩,3
路,3
農,3
鉄,3
意,3
様,3
